output,romaji
あ,a
い,i
う,u
え,e
お,o
ぁ,xa
ぃ,xi
ぅ,xu
ぇ,xe
ぉ,xo
か,ka
き,ki
く,ku
け,ke
こ,ko
が,ga
ぎ,gi
ぐ,gu
げ,ge
ご,go
さ,sa
し,si
す,su
せ,se
そ,so
ざ,za
じ,zi
ず,zu
ぜ,ze
ぞ,zo
た,ta
ち,ti
つ,tu
て,te
と,to
だ,da
ぢ,di
づ,du
で,de
ど,do
っ,xtu
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ひ,hi
ふ,hu
へ,he
ほ,ho
ば,ba
び,bi
ぶ,bu
べ,be
ぼ,bo
ぱ,pa
ぴ,pi
ぷ,pu
ぺ,pe
ぽ,po
ま,ma
み,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ゃ,xya
ゅ,xyu
ょ,xyo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
を,wo
ん,nn
ヴ,vu
、,","
。,.
ー,-
しゃ,sya
しゅ,syu
しょ,syo
きゃ,kya
きゅ,kyu
きょ,kyo
ちゃ,tya
ちゅ,tyu
ちょ,tyo
ひゃ,hya
ひゅ,hyu
ひょ,hyo
じゃ,ja
じゅ,ju
じょ,jo
ぎゃ,gya
ぎゅ,gyu
ぎょ,gyo
にゃ,nya
にゅ,nyu
にょ,nyo
びゃ,bya
びゅ,byu
びょ,byo
りゃ,rya
りゅ,ryu
りょ,ryo
みゃ,mya
みゅ,myu
みょ,myo
ぴゃ,pya
ぴゅ,pyu
ぴょ,pyo
でぃ,dhi
てぃ,thi
とぅ,twu
どぅ,dwu
うぃ,wi
うぇ,we
うぉ,who
ヴぁ,va
ヴぃ,vi
ヴぇ,ve
ヴぉ,vo
ふぁ,fa
ふぃ,fi
ふぇ,fe
ふぉ,fo
しぇ,she
じぇ,je
ちぇ,che
